,Long,Short,Average,SPY
2001-01,-0.03337804522027507,-0.5058404364941793,-0.2696092408572272,0.07078108641579464
2001-02,0.00733191397935141,0.26767705574507905,0.13750448486221523,-0.09664308211501345
2001-03,-0.08088317767827104,0.2773012988788476,0.09820906060028828,-0.08099942370870797
2001-04,0.05536968698127307,-0.3800992143563735,-0.1623647636875502,0.11252201376611352
2001-05,0.1465627913739504,-0.06912631922701529,0.038718236073467555,-0.002518781057260705
2001-06,0.2918960057336569,0.0766532544904618,0.18427463011205936,-0.017730332270363802
2001-07,0.0570707684714344,0.008820858525457631,0.03294581349844602,-0.016273185094856594
2001-08,-0.0876686873296168,0.2762375960100639,0.09428445434022356,-0.07116530451561984
2001-09,-0.15355311310462424,0.18588553578436584,0.016166211339870798,-0.07722411972267909
2001-10,0.3703182040335559,-0.5113617426390975,-0.07052176930277079,0.0406637398478853
2001-11,0.0677146346948029,-0.2680162884489006,-0.10015082687704883,0.04478853355347382
2001-12,0.015441203338672582,-0.11903464894940699,-0.05179672280536721,0.02255785639557994
2002-01,-0.003498474649978453,0.12244363130777407,0.05947257832889781,-0.024928647787381467
2002-02,-0.0445886397268989,0.05009050206217323,0.0027509311676371627,0.009675961135825438
2002-03,0.0412201274777239,-0.2649166961440551,-0.1118482843331656,0.01018280477804685
2002-04,-0.013780687678897684,0.21012150374061306,0.09817040803085769,-0.04704547816635219
2002-05,0.022877210957915273,0.13864358555880463,0.08076039825835996,-0.044055607172342644
2002-06,-0.08778977689154668,0.26260031031337333,0.08740526671091332,-0.0670729129661862
2002-07,-0.09692452429628229,0.24281062669022707,0.07294305119697239,-0.08502524334103784
2002-08,0.05102589543876281,0.0017119777317712802,0.026368936585267046,-0.00563192931626791
2002-09,0.02019017559675327,0.10694561378906223,0.06356789469290774,-0.0246457249846402
2002-10,0.17631009879641854,-0.27212186090051127,-0.047905881052046365,0.05307964514829104
2002-11,0.050160187585987184,-0.5350434246264058,-0.2424416185202093,0.0427607061267817
2002-12,-0.10773384394605949,-0.08916053698287249,-0.09844719046446598,-0.02775392329886145
2003-01,-0.013029708905718095,0.06074170056941789,0.0238559958318499,-0.05314589318798145
2003-02,0.013097839558320935,-0.0009519009868341176,0.006072969285743408,-0.02481734338380427
2003-03,0.127972624205988,-0.11609172746960277,0.005940448368192623,0.02731500125935256
2003-04,0.12466972165271946,-0.09558225004812353,0.014543735802297966,0.06810783923039944
2003-05,0.17031488068495368,-0.3887677549463388,-0.10922643713069256,0.059303476186973
2003-06,-0.0943079356709711,-0.09726545556091608,-0.09578669561594358,0.01577730087809486
2003-07,0.0003384175127859157,-0.09413934138576388,-0.04690046193648898,-0.0002028053066490878
2003-08,0.129244025285875,-0.14050703473026419,-0.005631504722194591,0.0435487324791544
2003-09,-0.03741062989942307,0.06572201952980103,0.014155694815188979,-0.0031919857330704473
2003-10,0.21888465420126374,-0.03321100769052218,0.09283682325537078,0.0383032668507176
2003-11,-0.022066413615765352,-0.07412063852507217,-0.04809352607041876,0.015190165736169313
2003-12,-0.08748152676074425,-0.10748278096626396,-0.0974821538635041,0.038620516150925245
2004-01,0.12556691933118408,-0.013522545316981018,0.05602218700710153,0.024633621522489907
2004-02,0.09737601782534594,-0.10397190623257921,-0.0032979442036166345,0.019215699081008925
2004-03,0.05987258111307896,0.016370526544663606,0.03812155382887128,-0.017055244202784408
